,0,1,2,3,4,5,6,7
26,133795876,Rainbow USA Inc. 014855,,,WAITING,EMAIL,Sep 21 2022 5:47PM,GL
27,133795879,CFI/Westgate Resorts (009056),,,WAITING,EMAIL,Sep 21 2022 5:58PM,WC
28,133795888,STRUCTURE TONE RCCIP NY CS,,,WAITING,EMAIL,Sep 21 2022 5:50PM,WC
29,133795917,SKANSKA USA BUILDING RCIP3,,,WAITING,EMAIL,Sep 21 2022 6:01PM,WC
30,133795937,ROBERTSHAW CONTROLS CO,,,RETURNED,EMAIL,Sep 21 2022 6:00PM,GL
31,133795980,Trisura Clearfork (009322),,,WAITING,EMAIL,Sep 21 2022 6:17PM,AL
32,133795984,Affinity Insurance C/O Captive Resources (001960),,,WAITING,EMAIL,Sep 21 2022 6:15PM,AL
33,133796054,GIC Madison CCIP IX (017473),,,WAITING,EMAIL,Sep 21 2022 6:38PM,WC
34,133796089,PAYCHEX PBS,,,WAITING,EMAIL,Sep 21 2022 6:42PM,WC
35,133796115,TRANSERVICE LOGISTICS LLC,,,WAITING,EMAIL,Sep 21 2022 6:55PM,AL
36,133796117,BRIGHTVIEW LANDSCAPING LLC,,,WAITING,EMAIL,Sep 21 2022 6:44PM,WC
37,133796139,Astrus Insurance Solutions (006537),,,WAITING,EMAIL,Sep 21 2022 6:54PM,WC
38,133796155,Omni Air (006280),,,WAITING,EMAIL,Sep 21 2022 6:55PM,WC
39,133796167,Town of Riverhead (005519),,,WAITING,EMAIL,Sep 21 2022 7:00PM,WC
40,133796170,MASTEC INC,,,WAITING,EMAIL,Sep 21 2022 6:54PM,WC
41,133796175,Steel Partners Holdings (009116),,,WAITING,EMAIL,Sep 21 2022 6:57PM,AL
42,133796210,Elite Staffing 009152,,,WAITING,EMAIL,Sep 21 2022 7:07PM,WC
43,133796237,GFL Environmental (009515),,,WAITING,EMAIL,Sep 21 2022 7:16PM,WC
44,133796242,LOCKHEED MARTIN,X,,IN PROGRESS,EMAIL,,WC
45,133796250,"PetVet Care Centers, LLC (013354)",,,IN PROGRESS,PHONE CALL,Sep 21 2022 7:19PM,WC
46,133796256,Dish Network (003167),,,WAITING,PHONE CALL,Sep 21 2022 7:29PM,WC
47,133796257,SuiteLife (009247),,,WAITING,EMAIL,Sep 21 2022 7:13PM,GL
48,133796268,Autozone (000531),,,WAITING,PHONE CALL,Sep 21 2022 7:30PM,AL
49,133796269,United Natural Foods (009071),,,IN PROGRESS,PHONE CALL,Sep 21 2022 7:29PM,AL
50,133796272,Pepsi Beverages Company,,,WAITING,PHONE CALL,Sep 21 2022 7:31PM,AL
51,133796275,Shaw Industries (002812) (GB),,,WAITING,EMAIL,Sep 21 2022 7:23PM,GL
52,133796276,Normandy Insurance,,,WAITING,EMAIL,Sep 21 2022 7:24PM,WC
53,133796282,Old Republic Construction (002979),,,WAITING,EMAIL,Sep 21 2022 7:25PM,WC
54,133796283,Autozone (000531),,,WAITING,PHONE CALL,Sep 21 2022 7:33PM,WC
55,133796284,The Brinks Company (006098),,,WAITING,PHONE CALL,Sep 21 2022 7:43PM,AL
56,133796292,Snap On Incorporated (007643),,,WAITING,EMAIL,Sep 21 2022 7:32PM,WC
57,133796300,FedEx Office and Print Svcs (000668),,,WAITING,PHONE CALL,Sep 21 2022 7:33PM,WC
58,133796301,Pepsi Beverages Company,,,WAITING,PHONE CALL,Sep 21 2022 7:44PM,AL
59,133796303,ACE USA - ASM (ACE Specialty Markets),,,WAITING,PHONE CALL,Sep 21 2022 7:46PM,AL
60,133796306,TJX Tipline,,,WAITING,PHONE CALL,Sep 21 2022 7:29PM,CCQ
61,133796314,RITE AID,,,WAITING,PHONE CALL,Sep 21 2022 7:42PM,GL
62,133796315,Autozone (000531),,,WAITING,PHONE CALL,Sep 21 2022 7:47PM,AL
63,133796322,Autozone (000531),,,WAITING,PHONE CALL,Sep 21 2022 7:37PM,AL
64,133796325,Acacia Network (009134),,,WAITING,EMAIL,Sep 21 2022 7:40PM,GL
65,133796342,Autozone (000531),,,WAITING,PHONE CALL,Sep 21 2022 7:47PM,AL
66,133796356,Midway Staffing (009279),,,WAITING,EMAIL,Sep 21 2022 7:47PM,WC
