,0,1,2,3,4,5,6,7
42,133822379,Autozone (000531),,,WAITING,PHONE CALL,Sep 29 2022 5:12PM,AL
43,133822383,Autozone (000531),,,WAITING,PHONE CALL,Sep 29 2022 5:18PM,AL
44,133822415,Millennium Insurance (001864),,,WAITING,PHONE CALL,Sep 29 2022 5:21PM,WC
45,133822439,RITE AID,,,WAITING,PHONE CALL,Sep 29 2022 5:26PM,GL
46,133822441,Construction Solutions (004143),,,WAITING,EMAIL,Sep 29 2022 5:26PM,AL
47,133822460,Autozone (000531),,,WAITING,PHONE CALL,Sep 29 2022 5:24PM,AL
48,133822469,WIS International (001372),,,WAITING,PHONE CALL,Sep 29 2022 5:42PM,WC
49,133822475,EXTRA SPACE,,,WAITING,PHONE CALL,Sep 29 2022 5:28PM,PL
50,133822476,Hostess Holdco (005138),,,WAITING,PHONE CALL,Sep 29 2022 5:28PM,GL
51,133822478,LA Rural Parish (010587),,,WAITING,PHONE CALL,Sep 29 2022 5:57PM,AL
52,133822487,TJX Tipline,,,WAITING,PHONE CALL,Sep 29 2022 5:35PM,CCQ
53,133822490,AirCo Aviation Services (013565),,,WAITING,PHONE CALL,Sep 29 2022 5:46PM,WC
54,133822495,Al Fresco Landscape Mgmt. 017264,,,IN PROGRESS,EMAIL,Sep 29 2022 5:57PM,GL
55,133822507,Old Republic Aerospace (001790),,,WAITING,PHONE CALL,Sep 29 2022 5:46PM,WC
56,133822508,Raffles Insurance LTD (000714),,,WAITING,EMAIL,Sep 29 2022 5:44PM,AL
57,133822510,Collective Liability Ins Coop (010003),,,WAITING,EMAIL,Sep 29 2022 5:48PM,AL
58,133822511,Autozone (000531),,,WAITING,PHONE CALL,Sep 29 2022 5:43PM,AL
59,133822516,Boulder Insurance LTD (GB) (002028),,,WAITING,PHONE CALL,Sep 29 2022 5:46PM,WC
60,133822526,Waste Management (003000),,,WAITING,PHONE CALL,Sep 29 2022 5:54PM,AL
61,133822540,All Risks LTD (002221),,,IN PROGRESS,EMAIL,Sep 29 2022 5:45PM,WC
62,133822543,Pepsi Beverages Company,,,WAITING,PHONE CALL,Sep 29 2022 5:47PM,AL
63,133822545,TrueBlue Inc (009793),,,WAITING,PHONE CALL,Sep 29 2022 5:49PM,WC
64,133822550,Milwaukee Public Schools (009012),,,WAITING,PHONE CALL,Sep 29 2022 5:53PM,WC
65,133822563,Autozone (000531),,,WAITING,PHONE CALL,Sep 29 2022 6:00PM,AL
66,133822564,ALL RISK LTD/TEMP STAFFING (004387),,,WAITING,PHONE CALL,Sep 29 2022 5:52PM,WC
67,133822570,Markel Corporation,,,WAITING,PHONE CALL,Sep 29 2022 5:51PM,CCQ
68,133822577,Affinity Insurance C/O Captive Resources (001960),,,WAITING,PHONE CALL,Sep 29 2022 5:56PM,WC
69,133822580,Front Burner Restaurants,,,WAITING,PHONE CALL,Sep 29 2022 5:58PM,GL
70,133822582,WIS International (001372),,,WAITING,PHONE CALL,Sep 29 2022 6:00PM,WC
71,133822596,Delta Global Services LLC,,,WAITING,PHONE CALL,Sep 29 2022 6:05PM,GL
72,133822597,Markel Corporation,,,WAITING,PHONE CALL,Sep 29 2022 6:00PM,CCQ
73,133822608,Ceva Logistics US (001597),,,WAITING,EMAIL,Sep 29 2022 6:14PM,AL
74,133822610,Athens Administrators - Ensign Services,,,WAITING,PHONE CALL,Sep 29 2022 6:09PM,WC
75,133822615,Delta Global Services LLC,,,WAITING,PHONE CALL,Sep 29 2022 6:06PM,GL
76,133822617,Markel Corporation,,,WAITING,PHONE CALL,Sep 29 2022 6:00PM,CCQ
77,133822629,TJX Tipline,,,WAITING,PHONE CALL,Sep 29 2022 6:10PM,CCQ
78,133822641,Affinity Insurance C/O Captive Resources (001960),,,WAITING,EMAIL,Sep 29 2022 6:28PM,AL
79,133822643,"AutoNation, Inc. (GB) (001873)",,,WAITING,PHONE CALL,Sep 29 2022 6:10PM,WC
80,133822648,TJX Tipline,,,WAITING,PHONE CALL,Sep 29 2022 6:31PM,CCQ
81,133822649,United Natural Foods (009071),,,WAITING,PHONE CALL,Sep 29 2022 6:17PM,WC
82,133822650,Balfour Beatty Customer Service Line,,,WAITING,PHONE CALL,Sep 29 2022 6:12PM,CCQ
83,133822651,Sodexo 000808,X,,IN PROGRESS,PHONE CALL,Sep 29 2022 6:17PM,WC
84,133822653,Pepsi Beverages Company,,,WAITING,PHONE CALL,Sep 29 2022 6:20PM,AL
85,133822656,DELTA JFK TERMINAL 4 CCIP,,,WAITING,PHONE CALL,Sep 29 2022 6:26PM,WC
86,133822667,Astrus Insurance Wrap (006653),,,WAITING,EMAIL,Sep 29 2022 6:21PM,WC
87,133822674,Autozone (000531),,,WAITING,PHONE CALL,Sep 29 2022 6:26PM,AL
88,133822675,Autozone (000531),,,WAITING,PHONE CALL,Sep 29 2022 6:33PM,AL
89,133822679,Ardellis Insurance (002127),,,WAITING,PHONE CALL,Sep 29 2022 6:22PM,WC
90,133822680,R Construction Group (009853),,,WAITING,EMAIL,Sep 29 2022 6:24PM,AL
91,133822698,Affinity Insurance C/O Captive Resources (001960),,,WAITING,PHONE CALL,Sep 29 2022 6:34PM,WC
92,133822699,ACE USA - ASM (ACE Specialty Markets),,,WAITING,PHONE CALL,Sep 29 2022 6:29PM,PL
93,133822711,"EG Retail America, LLC (011502)",,,WAITING,PHONE CALL,Sep 29 2022 6:33PM,PL
94,133822732,PREFERRED CLUB PROGRAMS (009233),,,WAITING,EMAIL,Sep 29 2022 6:37PM,GL
95,133822738,Autozone (000531),,,WAITING,PHONE CALL,Sep 29 2022 6:55PM,AL
96,133822741,PROVIDENCE GROUP INC,,,WAITING,PHONE CALL,Sep 29 2022 6:48PM,WC
97,133822747,All My Sons (009645),,,WAITING,PHONE CALL,Sep 29 2022 6:31PM,AL
98,133822748,"EG Retail America, LLC (011502)",,,WAITING,EMAIL,Sep 29 2022 6:35PM,WC
99,133822758,John Moriarty & Assoc (006611) (GB),,,WAITING,EMAIL,Sep 29 2022 6:38PM,WC
100,133822776,Olympus Insurance 009410,,,WAITING,PHONE CALL,Sep 29 2022 6:45PM,AL
101,133822785,CRESTLINE HOTELS,,,IN PROGRESS,EMAIL,Sep 29 2022 6:45PM,GL
102,133822789,Novo Nordisk (004238),,,WAITING,EMAIL,Sep 29 2022 6:51PM,AL
103,133822792,Autozone (000531),,,WAITING,PHONE CALL,Sep 29 2022 6:47PM,AL
104,133822798,Peabody Energy (009539),,X,WAITING,EMAIL,Sep 29 2022 6:52PM,WC
105,133822807,Frontier Adjusters,,X,WAITING,PHONE CALL,Sep 29 2022 6:53PM,CCQ
106,133822808,TRIP (001835),,,WAITING,EMAIL,Sep 29 2022 6:55PM,AL
